"Timestamp","Whom do you consider an ideal scientist?","What should be the most accurate metrics to judge the caliber of a scientist?","What according to you should be the minimum educational qualification one should have to be considered a scientist?","What do you think should be the most developed trait which one should have to become a successful scientist?","What is the first thought which you have when you hear the word 'Scientist'","Why do you think people want to be a scientist?","What should be a scientist’s first priority?","Do you think that scientists should be allowed to conduct unethical experiments for the sake of science","Should a scientist prioritize science over social ethics and social norms for the sake of greater good","What do you think is the most important stimulus to a scientist","How  do scientists help common people?","Are scientists more biased towards theoretical aspects of science rather than the practical side of it.","Do you think that scientists are slowly getting replaced by engineers and doctors as they are more focused towards the theoretical aspect of science. "
"2021/11/28 9:40:15 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","Number of good publications and patents","Does Not matter","High motivation","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","I choose not to answer this question","No","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:41:05 AM GMT+5:30","Someone whose only aim is development of science","The amount of knowledge and wisdom which one has","Does Not matter","Innovative","A normal person with high motivation and extreme love for science.","None of the above","Development of the society","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:41:48 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Post Doctorate","Foresight","Someone who is busy to discover the next big thing and make this world a better place.","Love for the subject","Working on what he is interested on","I choose not to answer this question","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 9:41:54 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Does Not matter","Foresight","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 9:45:54 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Creative","Someone who is busy to discover the next big thing and make this world a better place.","Desire to make great discoveries and to solve  global problems","Development of the society","I choose not to answer this question","Yes","Dream of a better future(Colonizing Mars for example)","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:49:57 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","Hardworking","A normal person with high motivation and extreme love for science.","Love for the subject","Development of the society","No, it will be unethical and disturb the basic fabric of the society","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:51:08 AM GMT+5:30","Someone whose only aim is development of science","Number of good publications and patents","Graduate","High motivation","A normal person with high motivation and extreme love for science.","Love for the subject","Developing ones knowledge","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:51:11 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Post Doctorate","High motivation","A normal person with high motivation and extreme love for science.","Social Status and financial stability","Developing ones knowledge","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They develop new technologies and gadgets to make our life easy","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 9:52:05 AM GMT+5:30","Someone whose only aim is development of science","The amount of knowledge and wisdom which one has","Does Not matter","Hardworking","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Developing ones knowledge","No, it will be unethical and disturb the basic fabric of the society","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:54:39 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Hardworking","A normal person with high motivation and extreme love for science.","Love for the subject","Development of the society","No, it will be unethical and disturb the basic fabric of the society","Yes","Dream of a better future(Colonizing Mars for example)","They improve education and adds to the knowledge on various aspects","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 9:55:01 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the society","I choose not to answer this question","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They answering the great mysteries of the universe","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:56:02 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Development of the society","No, it will be unethical and disturb the basic fabric of the society","Yes","Dream of a better future(Colonizing Mars for example)","They develop new technologies and gadgets to make our life easy","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:57:27 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Doctorate","High motivation","A normal person with high motivation and extreme love for science.","Love for the subject","Developing ones knowledge","No, it will be unethical and disturb the basic fabric of the society","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 10:00:19 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Foresight","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the society","I choose not to answer this question","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They improve education and adds to the knowledge on various aspects","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 10:08:35 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Post Graduate","Creative","Someone who is busy to discover the next big thing and make this world a better place.","Desire to make great discoveries and to solve  global problems","Developing ones knowledge","Yes, it will help science a lot and widen our research field.","No","Dream of a better future(Colonizing Mars for example)","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 10:16:55 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the subject itself","Yes, it will help science a lot and widen our research field.","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 10:18:41 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","High motivation","A normal person with high motivation and extreme love for science.","Love for the subject","Development of the subject itself","I choose not to answer this question","No","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 10:30:01 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Creative","Someone who is busy to discover the next big thing and make this world a better place.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","Yes, it will help science a lot and widen our research field.","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 10:31:51 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Does Not matter","Creative","A normal person with high motivation and extreme love for science.","Love for the subject","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 10:34:21 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","A normal person with high motivation and extreme love for science.","None of the above","Development of the society","No, it will be unethical and disturb the basic fabric of the society","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 10:34:22 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Doctorate","Innovative","Someone crazy who leave everything ( Social life, friends , family) for the sake of science.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 10:36:56 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Creative","A normal person with high motivation and extreme love for science.","Love for the subject","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 10:38:44 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","A normal person with high motivation and extreme love for science.","Desire to make great discoveries and to solve  global problems","Development of the society","Yes, it will help science a lot and widen our research field.","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 10:40:32 AM GMT+5:30","Someone who helps the society to utilize science","The amount of knowledge and wisdom which one has","Does Not matter","High motivation","A normal person with high motivation and extreme love for science.","Love for the subject","Working on what he is interested on","I choose not to answer this question","No","Dream of a better future(Colonizing Mars for example)","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 10:43:17 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Post Graduate","Hardworking","Someone crazy who leave everything ( Social life, friends , family) for the sake of science.","High chances of landing a job","Working on what he is interested on","I choose not to answer this question","No","Dream of a better future(Colonizing Mars for example)","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 10:43:25 AM GMT+5:30","Someone who helps the society to utilize science","Number of good publications and patents","Doctorate","Innovative","Someone who is busy to discover the next big thing and make this world a better place.","Love for the subject","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","Yes","Development in the subject of interest and applying it for the benefit of human civilization and mother earth both","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 10:44:13 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","Number of good publications and patents","Doctorate","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They develop new technologies and gadgets to make our life easy","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 10:44:22 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","High motivation","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Development of the society","No, it will be unethical and disturb the basic fabric of the society","No","Dream of a better future(Colonizing Mars for example)","They address issues on health, defense, climate  etc through their discoveries","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 10:46:17 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Post Doctorate","High motivation","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the society","No, it will be unethical and disturb the basic fabric of the society","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 10:46:21 AM GMT+5:30","Someone whose only aim is development of science","The impact which he/she is making on the society","Doctorate","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the subject itself","I choose not to answer this question","Yes","Dream of a better future(Colonizing Mars for example)","They improve education and adds to the knowledge on various aspects","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 10:46:30 AM GMT+5:30","Someone whose only aim is development of science","The impact which he/she is making on the society","Does Not matter","High motivation","Someone who is busy to discover the next big thing and make this world a better place.","Love for the subject","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They answering the great mysteries of the universe","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 10:51:21 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","High motivation","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 10:53:57 AM GMT+5:30","Someone whose only aim is development of science","Number of good publications and patents","Doctorate","Innovative","A normal person with high motivation and extreme love for science.","Desire to make great discoveries and to solve  global problems","Development of the subject itself","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They answering the great mysteries of the universe","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 10:57:15 AM GMT+5:30","Someone whose only aim is development of science","The amount of knowledge and wisdom which one has","Does Not matter","Innovative","A normal person with high motivation and extreme love for science.","Love for the subject","Development of the subject itself","I choose not to answer this question","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 10:58:28 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the subject itself","No, it will be unethical and disturb the basic fabric of the society","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 11:07:35 AM GMT+5:30","Someone whose only aim is development of science","The impact which he/she is making on the society","Does Not matter","Hardworking","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 11:08:00 AM GMT+5:30","Someone who studies science and has a decent amount of knowledge on the subject","The amount of knowledge and wisdom which one has","Does Not matter","Foresight","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Developing ones knowledge","No, it will be unethical and disturb the basic fabric of the society","Yes","Curiosity and personal interest","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 11:08:29 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Does Not matter","Creative","A normal person with high motivation and extreme love for science.","Social Status and financial stability","Working on what he is interested on","I choose not to answer this question","No","Curiosity and personal interest","They answering the great mysteries of the universe","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 11:09:44 AM GMT+5:30","Someone whose only aim is development of science","Number of good publications and patents","Doctorate","High motivation","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Developing ones knowledge","I choose not to answer this question","No","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 11:12:32 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","Innovative","A normal person with high motivation and extreme love for science.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","I choose not to answer this question","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They develop new technologies and gadgets to make our life easy","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 11:16:30 AM GMT+5:30","Someone who studies science and has a decent amount of knowledge on the subject","The amount of knowledge and wisdom which one has","Doctorate","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","I choose not to answer this question","No","All of them are equally important","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 11:25:25 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Does Not matter","Foresight","A normal person with high motivation and extreme love for science.","Social Status and financial stability","Development of the subject itself","No, it will be unethical and disturb the basic fabric of the society","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 11:33:37 AM GMT+5:30","Someone whose only aim is development of science","Number of good publications and patents","Post Doctorate","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Development of the subject itself","I choose not to answer this question","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 11:34:24 AM GMT+5:30","Someone who helps the society to utilize science","The amount of knowledge and wisdom which one has","Post Doctorate","Intelligence","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Development of the society","I choose not to answer this question","No","Dream of a better future(Colonizing Mars for example)","They improve education and adds to the knowledge on various aspects","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 11:38:19 AM GMT+5:30","Someone who studies science and has a decent amount of knowledge on the subject","The amount of knowledge and wisdom which one has","Does Not matter","Intelligence","A normal person with high motivation and extreme love for science.","None of the above","Developing ones knowledge","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 11:42:13 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Doctorate","Hardworking","A normal person with high motivation and extreme love for science.","Love for the subject","Development of the subject itself","I choose not to answer this question","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 11:45:03 AM GMT+5:30","Someone who helps the society to utilize science","The amount of knowledge and wisdom which one has","Doctorate","Hardworking","A normal person with high motivation and extreme love for science.","Love for the subject","Developing ones knowledge","Yes, it will help science a lot and widen our research field.","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They improve education and adds to the knowledge on various aspects","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 11:45:22 AM GMT+5:30","Someone who studies science and has a decent amount of knowledge on the subject","The amount of knowledge and wisdom which one has","Post Graduate","Innovative","A normal person with high motivation and extreme love for science.","Social Status and financial stability","Developing ones knowledge","No, it will be unethical and disturb the basic fabric of the society","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 11:49:35 AM GMT+5:30","Someone whose only aim is development of science","Number of good publications and patents","Doctorate","Foresight","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","Yes, it will help science a lot and widen our research field.","No","Dream of a better future(Colonizing Mars for example)","They develop new technologies and gadgets to make our life easy","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 11:51:54 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Graduate","Creative","A normal person with high motivation and extreme love for science.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 11:54:32 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Hardworking","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","High chances of landing a job","Development of the society","Yes, it will help science a lot and widen our research field.","Yes","Curiosity and personal interest","They answering the great mysteries of the universe","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 12:03:26 PM GMT+5:30","Someone who studies science and has a decent amount of knowledge on the subject","The amount of knowledge and wisdom which one has","Does Not matter","Intelligence","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They develop new technologies and gadgets to make our life easy","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 12:10:27 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Creative","A normal person with high motivation and extreme love for science.","It sounds fancy and people think that you are very smart","Development of the society","No, it will be unethical and disturb the basic fabric of the society","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 12:10:45 PM GMT+5:30","Someone whose only aim is development of science","The amount of knowledge and wisdom which one has","Does Not matter","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Developing ones knowledge","I choose not to answer this question","Yes","Dream of a better future(Colonizing Mars for example)","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 12:14:06 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Does Not matter","Creative","A normal person with high motivation and extreme love for science.","Love for the subject","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 12:17:39 PM GMT+5:30","Someone whose only aim is development of science","The impact which he/she is making on the society","Doctorate","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the subject itself","I choose not to answer this question","Yes","Curiosity and personal interest","They answering the great mysteries of the universe","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 12:28:02 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Hardworking","Some highly educated folk.","Love for the subject","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 12:32:12 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","A normal person with high motivation and extreme love for science.","Love for the subject","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 12:51:58 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Graduate","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Developing ones knowledge","I choose not to answer this question","Yes","Dream of a better future(Colonizing Mars for example)","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 12:55:09 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","It sounds fancy and people think that you are very smart","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Dream of a better future(Colonizing Mars for example)","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 1:02:08 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Creative","A normal person with high motivation and extreme love for science.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 1:06:00 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","Innovative","A normal person with high motivation and extreme love for science.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","Yes, it will help science a lot and widen our research field.","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 1:06:51 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Doctorate","Foresight","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 1:08:49 PM GMT+5:30","Someone whose only aim is development of science","Number of good publications and patents","Does Not matter","Innovative","Some highly educated folk.","Love for the subject","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 1:11:41 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 1:42:22 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Does Not matter","Innovative","Some with odd hair, thick glasses wearing a lab coat and working in some secret lab.","Love for the subject","Working on what he is interested on","I choose not to answer this question","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 1:42:24 PM GMT+5:30","Someone whose only aim is development of science","The amount of knowledge and wisdom which one has","Doctorate","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They answering the great mysteries of the universe","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 1:43:04 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","High motivation","A normal person with high motivation and extreme love for science.","Love for the subject","Developing ones knowledge","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They develop new technologies and gadgets to make our life easy","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 1:48:11 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","Foresight","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","None of the above","Development of the society","Yes, it will help science a lot and widen our research field.","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 2:01:34 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Does Not matter","Creative","A normal person with high motivation and extreme love for science.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","I choose not to answer this question","No","Curiosity and personal interest","They answering the great mysteries of the universe","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
